;LUNDI;MARDI;MERCREDI;JEUDI;VENDREDI;SAMEDI;DIMANCHE
00h00;0;0;0;0;0;0;0
1h;0;0;0;0;0;0;0
2h;0;0;0;0;0;0;0
3h;0;0;0;0;0;0;0
4H;0;0;0;0;0;0;0
5H;0;0;0;0;0;0;0
6H;0;0;0;0;0;1;0
7H;1;1;1;1;1;1;0
8H;2;2;2;2;2;2;2
9H;2;2;2;2;2;2;2
10H;2;2;2;2;2;2;2
11H;3;3;3;3;3;3;3
12H;4;4;4;4;4;3;3
13H;4;4;4;4;4;3;3
14H;1;1;1;1;1;3;3
15H;1;1;1;1;1;3;3
16H;2;2;2;2;2;3;3
17H;2;2;2;2;2;3;3
18H;2;2;2;2;2;2;2
19H;2;2;2;2;2;2;0
20h;2;2;2;2;2;2;0
21h;0;0;0;0;0;0;0
22h;0;0;0;0;0;0;0
23h;0;0;0;0;0;0;0
magasin,jour,heure_debut,heure_fin,min_personnes,max_personnes
